"Label (Grouping)","Median household income in the past 12 months (in 2017 inflation-adjusted dollars)"
"Census Tract 97, District of Columbia, District of Columbia",""
"    Estimate","31,771"
"Census Tract 98.01, District of Columbia, District of Columbia",""
"    Estimate","20,513"
"Census Tract 98.02, District of Columbia, District of Columbia",""
"    Estimate","23,625"
"Census Tract 98.03, District of Columbia, District of Columbia",""
"    Estimate","26,306"
"Census Tract 98.04, District of Columbia, District of Columbia",""
"    Estimate","36,559"
"Census Tract 98.07, District of Columbia, District of Columbia",""
"    Estimate","41,452"
"Census Tract 98.10, District of Columbia, District of Columbia",""
"    Estimate","30,704"
"Census Tract 98.11, District of Columbia, District of Columbia",""
"    Estimate","30,764"
"Census Tract 99.01, District of Columbia, District of Columbia",""
"    Estimate","89,813"
"Census Tract 99.02, District of Columbia, District of Columbia",""
"    Estimate","51,813"
"Census Tract 99.03, District of Columbia, District of Columbia",""
"    Estimate","64,279"
"Census Tract 99.04, District of Columbia, District of Columbia",""
"    Estimate","30,728"
"Census Tract 99.05, District of Columbia, District of Columbia",""
"    Estimate","40,650"
"Census Tract 99.06, District of Columbia, District of Columbia",""
"    Estimate","44,357"
"Census Tract 99.07, District of Columbia, District of Columbia",""
"    Estimate","31,426"
"Census Tract 101, District of Columbia, District of Columbia",""
"    Estimate","84,514"
"Census Tract 102, District of Columbia, District of Columbia",""
"    Estimate","104,215"
"Census Tract 103, District of Columbia, District of Columbia",""
"    Estimate","69,741"
"Census Tract 104, District of Columbia, District of Columbia",""
"    Estimate","36,477"
"Census Tract 105, District of Columbia, District of Columbia",""
"    Estimate","83,750"
"Census Tract 106, District of Columbia, District of Columbia",""
"    Estimate","110,469"
"Census Tract 107, District of Columbia, District of Columbia",""
"    Estimate","73,750"
"Census Tract 108, District of Columbia, District of Columbia",""
"    Estimate","36,058"
"Census Tract 109, District of Columbia, District of Columbia",""
"    Estimate","31,094"
"Census Tract 110, District of Columbia, District of Columbia",""
"    Estimate","75,529"
"Census Tract 111, District of Columbia, District of Columbia",""
"    Estimate","75,781"
